algorithmName,terrainType,randomSeed,boardSize,numObjects,collectedDamon,returnedHome,objectsCollected,stepsTaken,runtime,estimationNoise,startingBattery,usedBattery,,,,,,,,,,,,,,,,
Genetic,Pure Random,-1.61E+18,64,5,true,true,5,391,1.14E+11,0,409.6,67.31256157,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-1.61E+18,64,5,true,true,0,197,2174700,0,409.6,35.15324705,,,,,,,,,,,,,,,,
Ants,Pure Random,-1.61E+18,64,5,true,true,5,1021,1.71E+11,0,409.6,161.0954884,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,3.42E+18,64,5,true,true,5,263,58945396400,0,204.8,47.20847478,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,3.42E+18,64,5,true,false,5,1230,3932000,0,204.8,204.7957939,,,,,,,,,,,,,,,,
Ants,Pure Random,3.42E+18,64,5,true,true,5,789,1.54E+11,0,204.8,123.3325234,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,8.53E+18,64,5,true,true,3,551,75663314500,0,102.4,101.0409896,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,8.53E+18,64,5,true,true,0,415,505500,0,102.4,78.71708639,,,,,,,,,,,,,,,,
Ants,Pure Random,8.53E+18,64,5,true,false,3,663,93060704700,0,102.4,102.3524108,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,4.80E+18,64,5,true,true,4,241,33411947600,0,51.2,48.19933189,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,4.80E+18,64,5,true,true,0,109,160100,0,51.2,21.61285073,,,,,,,,,,,,,,,,
